Timestamp,Thrust,PWM
0.091,0,30
0.179,0,30
0.278,0,30
0.376,0,30
0.476,0,30
0.574,0,30
0.674,0,30
0.773,0,45
0.873,0,45
0.972,0,45
1.071,0,45
1.168,0,45
1.268,0,45
1.367,0,45
1.468,0,45
1.567,0,45
1.665,0,45
1.764,0,45
1.863,0,45
1.964,0,45
2.063,0,45
2.162,0,45
2.26,0,45
2.36,0,45
2.458,0,45
2.559,0,45
2.657,0,45
2.756,0,45
2.855,0,45
2.955,0,45
3.055,0,45
3.154,0,45
3.252,0,45
3.351,0,45
3.45,0,45
3.55,0,45
3.65,0,45
3.749,0,1
3.847,0,2
3.947,0,2
4.047,0,3
4.144,0,4
4.244,0,6
4.344,0,8
4.442,0,9
4.541,0,10
4.641,0,13
4.74,0,14
4.839,2.55,15
4.938,4.2,16
5.038,5.15,16
5.137,7.3,15
5.236,7.25,15
5.335,5.3,14
5.434,5.05,14
5.532,5,13
5.633,4.4,11
5.732,3.85,9
5.83,3.2,8
5.93,2.4,6
6.029,1.75,5
6.128,2,4
6.228,2.05,3
6.327,1.85,1
6.425,1.8,0
6.525,2.05,0
6.625,1.8,0
6.724,1.95,0
6.823,1.75,0
6.922,1.7,0
7.021,1.6,2
7.119,1.45,4
7.219,1.4,6
7.317,1.25,8
7.418,1.25,10
7.516,0.85,11
7.616,0.75,12
7.716,2.35,14
7.815,4.2,15
7.914,5.55,16
8.013,6.9,16
8.112,8.55,16
8.212,8.8,16
8.311,6.1,16
8.41,5.25,17
8.509,5.05,17
8.609,6.3,17
8.708,6.9,17
8.805,7.3,17
8.906,6.6,14
9.004,6.1,12
9.104,4.85,10
9.203,3.35,10
9.301,3.1,11
9.4,3.6,14
9.499,3.4,16
9.598,3.6,18
9.699,5.65,21
9.799,7.05,23
9.898,7.35,24
9.997,7.5,24
10.096,7.5,24
10.195,8.55,24
10.295,9.85,24
10.392,10.45,22
10.491,10.7,19
10.592,9.7,17
10.691,8.85,14
10.789,7.55,14
10.889,6.05,16
10.989,5.1,19
11.088,5.65,21
11.186,7.1,21
11.286,8.5,22
11.386,8.9,22
11.483,9,20
11.582,8.55,18
11.682,7.95,16
11.78,6.55,13
11.881,5.7,11
11.983,4.15,8
12.08,2.65,6
12.182,1.85,3
12.278,2.05,0
12.377,2.8,0
12.477,2.7,0
12.576,2.45,0
12.675,1.95,0
12.773,1.9,0
12.873,1.7,0
12.972,1.65,0
13.07,1.5,0
13.169,1.85,0
13.268,1.45,0
13.369,1.3,0
13.468,1.1,0
13.566,1.1,0
13.666,1,0
13.766,1.05,0
13.865,1,0
13.964,0.8,0
14.064,0.75,0
14.162,0.75,0
14.261,0.75,0
14.359,0.65,1
14.46,0.55,3
14.559,0.45,5
14.66,0.45,6
14.757,0.25,8
14.856,0,8
14.955,0,8
15.054,1.95,9
15.154,4.25,9
15.253,5.75,9
15.352,6.85,10
15.451,7.9,10
15.551,5.5,10
15.649,3.25,11
15.749,3.25,11
15.848,3.4,12
15.947,3.85,12
